"","TP_COR_RACA","TP_ESCOLA","TP_SEXO","Q005","Q006","CO_PROVA_CN","CO_PROVA_CH","CO_PROVA_LC","CO_PROVA_MT","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO","SG_UF_RESIDENCIA"
"1369",1,1,"F",2,"N",391,398,401,403,596,669.6,576.5,789.4,560,"PR"
"1370",3,2,"F",5,"D",394,397,402,405,420.9,451.3,493,371,340,"AM"
"1371",3,1,"F",4,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MS"
"1372",1,1,"F",4,"C",391,398,401,403,428.4,444.6,447.5,378.4,560,"PR"
"1373",3,1,"M",4,"A",392,397,402,404,586.2,582.9,523.6,478.8,0,"MG"
"1374",1,3,"M",3,"I",394,397,402,405,534.9,647.8,586.7,617.7,620,"SP"
"1375",3,1,"M",3,"C",392,397,402,404,508,486.7,496.4,517.1,520,"PE"
"1376",1,1,"F",4,"I",394,396,400,405,544.1,529.5,583.3,523.6,780,"SC"
"1377",3,1,"M",3,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PB"
"1378",3,1,"M",5,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MG"
"1379",3,1,"F",4,"D",391,395,399,403,563.7,592.2,513.7,503.1,600,"GO"
"1380",1,1,"F",4,"D",394,396,400,405,586.6,546,526.5,661.4,600,"MG"
"1381",3,1,"M",2,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AP"
"1382",2,1,"F",5,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MG"
"1383",3,2,"F",4,"B",392,398,401,404,559.5,594.7,572.8,720.9,0,"PB"
"1384",1,1,"F",3,"E",392,395,399,404,556.2,635,589.6,484.5,680,"RS"
"1385",1,2,"M",3,"C",392,397,402,404,513.2,476.9,356.3,413.4,420,"SP"
"1386",1,2,"M",5,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"1387",3,2,"F",6,"I",393,398,401,406,519.2,535.1,560.4,537.4,600,"SP"
"1388",3,3,"F",4,"Q",392,398,401,404,612.3,620.4,631.3,503.5,700,"RJ"
"1389",3,1,"F",4,"B",391,396,400,403,444.2,583.4,536.8,433.5,480,"PE"
"1390",1,1,"M",3,"C",391,397,402,403,616.8,645.7,563.9,677.7,360,"RJ"
"1391",3,1,"F",4,"E",393,398,401,406,464.3,616.2,562.1,540,640,"SP"
"1392",2,1,"F",7,"D",394,395,399,405,581.9,514.3,540.2,531.8,560,"GO"
"1393",3,1,"F",1,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PE"
"1394",3,3,"M",6,"J",394,397,402,405,639.3,689.8,589.3,695.4,660,"PE"
"1395",3,1,"M",6,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MG"
"1396",1,1,"M",1,"I",393,396,400,406,475.6,478.3,459.4,554.9,520,"RS"
"1397",1,1,"M",4,"G",391,397,402,403,407,0,302.8,463.8,0,"PE"
"1398",3,1,"M",2,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CE"
"1399",1,1,"M",1,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MG"
"1400",2,1,"M",12,"C",391,398,401,403,425,461,520.9,392.1,500,"GO"
"1401",0,2,"F",3,"B",391,397,402,403,490.6,515.3,489,402.3,360,"BA"
"1402",1,1,"F",3,"B",391,396,400,403,474.5,454.8,553.8,616.8,520,"SP"
"1403",1,1,"F",3,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MG"
"1404",1,1,"M",4,"C",394,396,400,405,605.8,668.4,642.1,714.4,560,"DF"
"1405",3,1,"M",6,"C",391,395,399,403,441.8,488.7,394.4,534.9,540,"SP"
"1406",1,1,"F",7,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PE"
"1407",2,1,"F",2,"C",391,396,400,403,399.8,601.6,562.7,362.5,660,"PI"
"1408",3,1,"F",3,"C",393,397,402,406,498.2,487.1,578.7,473.4,600,"PE"
"1409",2,1,"M",4,"F",394,396,400,405,530.5,614.6,597.4,721.5,840,"RJ"
"1410",1,1,"M",6,"D",391,398,401,403,462.3,470.8,490.9,524.8,380,"PR"
"1411",3,1,"F",5,"B",392,397,402,404,409.7,493.3,512.2,481.6,560,"CE"
"1412",3,1,"F",2,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MA"
"1413",1,1,"F",5,"C",393,398,401,406,654.3,665.1,594.7,452.4,680,"CE"
"1414",3,1,"F",6,"C",391,396,400,403,578.4,582.5,560.3,563.3,940,"PE"
"1415",1,1,"F",4,"D",394,397,402,405,589.4,554.3,542.2,423.5,680,"MG"
"1416",3,2,"F",3,"B",394,395,399,405,436.8,508.5,487.5,569.2,620,"MA"
"1417",3,1,"F",5,"C",391,396,400,403,577.9,521.5,517,525,660,"CE"
"1418",1,1,"F",3,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RS"
"1419",3,1,"F",4,"D",NA,396,400,NA,NA,505.8,534.4,NA,0,"MT"
"1420",1,1,"F",2,"C",392,398,401,404,516.2,583.5,602.7,538.6,600,"SP"
"1421",1,2,"F",4,"C",393,396,400,406,611.2,614,571.7,560.1,940,"RS"
"1422",3,1,"F",4,"C",391,397,402,403,510.2,409.5,488.4,445.7,480,"MG"
"1423",3,1,"M",6,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"1424",1,1,"M",4,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RS"
"1425",1,1,"M",2,"C",391,395,399,403,446.1,572.2,491.4,594,520,"PE"
"1426",1,2,"F",4,"C",394,398,401,405,488.7,543.8,493.2,443.3,520,"RS"
"1427",1,1,"F",2,"G",394,397,402,405,542.2,538.4,352.6,479.2,640,"SP"
