ID,LATITUDE,LONGITUDE,Mun/UF,MUNICIPIO,UF,Valor
150,-7.05,-71.69,IPIXUNA - AM,IPIXUNA,AM,68.611.156.912.345
151,-3.28,-60.18,IRANDUBA - AM,IRANDUBA,AM,16.913.822.160.235
152,-3.14,-58.44,ITACOATIARA - AM,ITACOATIARA,AM,42.852.600.824.567
153,-6.42,-68.25,ITAMARATI - AM,ITAMARATI,AM,49.869.419.174.067
154,-2.74,-58.02,ITAPIRANGA - AM,ITAPIRANGA,AM,42.114.724.636.078
155,-1.82,-66.59,JAPURA - AM,JAPURA,AM,43.249.255.277.944
156,-3.48,-66.06,JURUA - AM,JURUA,AM,29.024.980.899.571
157,-2.74,-66.76,JUTAI - AM,JUTAI,AM,1.346.227.317.565
158,-7.25,-64.79,LABREA - AM,LABREA,AM,18.519.280.258.581
159,-3.3,-60.62,MANACAPURU - AM,MANACAPURU,AM,44.470.149.125.358
160,-3.42,-60.45,MANAQUIRI - AM,MANAQUIRI,AM,10.750.195.770.912
161,-3.1,-60.02,MANAUS - AM,MANAUS,AM,1157357
162,-5.8,-61.3,MANICORE - AM,MANICORE,AM,25.322.487.345.991
163,-1.85,-65.58,MARAA - AM,MARAA,AM,86.837.315.732.308
164,-3.38,-57.71,MAUES - AM,MAUES,AM,23.520.178.279.589
165,-2.18,-56.71,NHAMUNDA - AM,NHAMUNDA,AM,97.000.427.767.978
166,-3.88,-59.09,NOVA OLINDA DO NORTE - AM,NOVA OLINDA DO NORTE,AM,12.465.969.981.151
167,-2.62,-60.94,NOVO AIRAO - AM,NOVO AIRAO,AM,90.626.508.547.957
168,-5.12,-60.38,NOVO ARIPUANA - AM,NOVO ARIPUANA,AM,95.633.857.026.914
169,-2.62,-56.73,PARINTINS - AM,PARINTINS,AM,46.335.148.740.893
170,-7.71,-66.97,PAUINI - AM,PAUINI,AM,12.653.450.572.281
171,-2.03,-60.02,PRESIDENTE FIGUEIREDO - AM,PRESIDENTE FIGUEIREDO,AM,66.940.111.373.961
172,-2.69,-59.7,RIO PRETO DA EVA - AM,RIO PRETO DA EVA,AM,62.170.862.040.669
173,-0.41,-65.01,SANTA ISABEL DO RIO NEGRO - AM,SANTA ISABEL DO RIO NEGRO,AM,77.986.280.431.975
174,-3.1,-67.94,SANTO ANTONIO DO ICA - AM,SANTO ANTONIO DO ICA,AM,15.397.573.888.593
175,-0.13,-67.08,SAO GABRIEL DA CACHOEIRA - AM,SAO GABRIEL DA CACHOEIRA,AM,18.585.067.760.734
176,-3.37,-68.87,SAO PAULO DE OLIVENCA - AM,SAO PAULO DE OLIVENCA,AM,12.521.955.889.353
177,-2.57,-57.87,SAO SEBASTIAO DO UATUMA - AM,SAO SEBASTIAO DO UATUMA,AM,39.142.050.905.949
178,-2.83,-58.2,SILVES - AM,SILVES,AM,40.719.003.462.241
179,-4.25,-69.93,TABATINGA - AM,TABATINGA,AM,22.111.399.138.308
180,-5.62,-63.18,TAPAUA - AM,TAPAUA,AM,1.127.939.763.023
181,-3.35,-64.71,TEFE - AM,TEFE,AM,39.230.715.667.514
182,-2.87,-67.8,TONANTINS - AM,TONANTINS,AM,93.289.328.388.251
183,-2.99,-65.1,UARINI - AM,UARINI,AM,68.627.053.493.016
184,-2.53,-57.76,URUCARA - AM,URUCARA,AM,10.967.167.017.677
185,-3.13,-58.15,URUCURITUBA - AM,URUCURITUBA,AM,10.778.873.847.277
186,02.05,-50.79,AMAPA - AP,AMAPA,AP,39.088.087.608.714
187,2.49,-50.94,CALCOENE - AP,CALCOENE,AP,34.930.230.051.096
188,0.98,-50.8,CUTIAS - AP,CUTIAS,AP,12.328.238.741.673
189,0.85,-51.18,FERREIRA GOMES - AP,FERREIRA GOMES,AP,15.759.982.171.407
190,0.71,-50.8,ITAUBAL - AP,ITAUBAL,AP,1.310.070.395.198
191,-1.12,-52,LARANJAL DO JARI - AP,LARANJAL DO JARI,AP,14.557.975.742.576
192,0.03,-51.06,MACAPA - AP,MACAPA,AP,15.381.011.447.224
193,-0.11,-51.28,MAZAGAO - AP,MAZAGAO,AP,6.903.128.181.355
194,3.84,-51.83,OIAPOQUE - AP,OIAPOQUE,AP,60.068.382.537.187
195,0.77,-51.94,PEDRA BRANCA DO AMAPARI - AP,PEDRA BRANCA DO AMAPARI,AP,21.025.701.425.941
196,0.71,-51.41,PORTO GRANDE - AP,PORTO GRANDE,AP,48.810.958.934.466
197,1.74,-50.79,PRACUUBA - AP,PRACUUBA,AP,10.392.820.785.677
198,-0.05,-51.18,SANTANA - AP,SANTANA,AP,43.436.799.601.791
199,0.89,-52,SERRA DO NAVIO - AP,SERRA DO NAVIO,AP,18.004.301.787.191
200,1.5,-50.91,TARTARUGALZINHO - AP,TARTARUGALZINHO,AP,28.848.809.189.025
201,-0.8,-52.45,VITORIA DO JARI - AP,VITORIA DO JARI,AP,40.670.597.195.071
202,-13.25,-41.66,ABAIRA - BA,ABAIRA,BA,86.534.458.970.124
203,-8.72,-39.11,ABARE - BA,ABARE,BA,81.865.552.710.281
204,-11.66,-38.01,ACAJUTIBA - BA,ACAJUTIBA,BA,83.632.771.772.107
205,-10.53,-38.1,ADUSTINA - BA,ADUSTINA,BA,81.024.581.036.289
206,-11.86,-38.76,AGUA FRIA - BA,AGUA FRIA,BA,90.155.248.634.028
207,-14.12,-39.88,AIQUARA - BA,AIQUARA,BA,41.079.729.289.723
208,-12.13,-38.41,ALAGOINHAS - BA,ALAGOINHAS,BA,74.011.317.213.751
209,-17.51,-39.19,ALCOBACA - BA,ALCOBACA,BA,1.003.510.801.641
210,-14.7,-39.63,ALMADINA - BA,ALMADINA,BA,57.487.721.501.454
211,-13.03,-39.6,AMARGOSA - BA,AMARGOSA,BA,21.225.998.036.788
212,-12.39,-38.75,AMELIA RODRIGUES - BA,AMELIA RODRIGUES,BA,15.063.340.653.329
213,-11.45,-41.43,AMERICA DOURADA - BA,AMERICA DOURADA,BA,965.576.075.286
214,-14.61,-41.13,ANAGE - BA,ANAGE,BA,29.362.864.613.877
215,-12.8,-41.33,ANDARAI - BA,ANDARAI,BA,10.377.786.528.887
216,-10.34,-39.83,ANDORINHA - BA,ANDORINHA,BA,11.851.761.116.264
217,-12,-44.69,ANGICAL - BA,ANGICAL,BA,88.739.861.137.232
218,-12.15,-39.24,ANGUERA - BA,ANGUERA,BA,55.615.905.639.708
219,-10.4,-38.33,ANTAS - BA,ANTAS,BA,69.625.313.717.657
220,-12.43,-39.12,ANTONIO CARDOSO - BA,ANTONIO CARDOSO,BA,68.664.971.773.314
221,-10.57,-40.27,ANTONIO GONCALVES - BA,ANTONIO GONCALVES,BA,95.325.738.480.246
222,-11.66,-38.08,APORA - BA,APORA,BA,104.308.044.748
223,-13.85,-39.74,APUAREMA - BA,APUAREMA,BA,61.723.431.881.375
